Youngstown State,Penguins,Birds,#d41a00,Horz,Ohio
Yale,Bulldogs,Land Animals,#00346a,Ivy,Connecticut
Xavier,Musketeers,Humans,#002857,BE,Ohio
Wyoming,Cowboys,Humans,#492f24,MWC,Wyoming
Wright State,Raiders,Humans,#efad00,Horz,Ohio
Wofford,Terriers,Land Animals,#886E4C,SC,South Carolina
Wisconsin,Badgers,Land Animals,#be0f34,B10,Wisconsin
Winthrop,Eagles,Birds,#a90533,BSth,South Carolina
William & Mary,Tribe,Humans,#115740,CAA,Virginia
Wichita State,Shockers,Humans,#141414,Amer,Kansas
Western Michigan,Broncos,Humans,#522c1b,MAC,Michigan
Western Kentucky,Hilltoppers,Humans,#d41a00,CUSA,Kentucky
Western Illinois,Leathernecks,Humans,#663399,OVC,Illinois
Western Carolina,Catamounts,Land Animals,#d5a977,SC,North Carolina
West Virginia,Mountaineers,Humans,#00447c,B12,West Virginia
Weber State,Wildcats,Land Animals,#492365,BSky,Utah
Washington State,Cougars,Land Animals,#981e32,P12,Washington
Washington,Huskies,Land Animals,#39275B,P12,Washington
Wake Forest,Demon Deacons,Humans,#141414,ACC,North Carolina
Wagner,Seahawks,Birds,#336356,NEC,New York
Virginia Tech,Hokies,Birds,#660000,ACC,Virginia
Virginia Military,Keydets,Humans,#c41700,SC,Virginia
Virginia Commonwealth,Rams,Land Animals,#141414,A10,Virginia
Virginia,Cavaliers,Humans,#002147,ACC,Virginia
Villanova,Wildcats,Land Animals,#003366,BE,Pennsylvania
Vermont,Catamounts,Land Animals,#005030,AE,Vermont
Vanderbilt,Commodores,Humans,#141414,SEC,Tennessee
Valparaiso,Crusaders,Humans,#613318,MVC,Indiana
Utah Valley,Wolverines,Land Animals,#00460f,WAC,Utah
Utah Tech,Trailblazers,Humans,#BA1C21,WAC,Utah
Utah State,Aggies,Humans,#00264a,MWC,Utah
Utah,Utes,Humans,#c20430,P12,Utah
UTSA,Roadrunners,Birds,#fe7502,Amer,Texas
UTEP,Miners,Humans,#eb5a0d,CUSA,Texas
USC Upstate,Spartans,Humans,#00682e,ASun,South Carolina
USC,Trojans,Humans,#990000,P12,California
UNLV,Rebels,Humans,#cc092f,MWC,Nevada
UNC Greensboro,Spartans,Humans,#003c79,SC,North Carolina
UNC Asheville,Bulldogs,Land Animals,#003C77,BSth,North Carolina
Kansas City,Kangaroos,Land Animals,#e0ae00,WAC,Missouri
UMBC,Retrievers,Land Animals,#bc9300,AE,Maryland
UCLA,Bruins,Land Animals,#0072cf,P12,California
UCF,Knights,Humans,#bba378,B12,Florida
UC Santa Barbara,Gauchos,Humans,#0039a6,BW,California
UC San Diego,Tritons,Objects,#182B49,BW,California
UC Riverside,Highlanders,Humans,#e0ae00,BW,California
UC Irvine,Anteaters,Land Animals,#002a5c,BW,California
UC Davis,Aggies,Humans,#002855,BW,California
UAB,Blazers,Humans,#1E6B52,Amer,Alabama
Tulsa,Golden Hurricane,Natural Phenomena,#005496,Amer,Oklahoma
Tulane,Green Wave,Natural Phenomena,#005737,Amer,Louisiana
Troy,Trojans,Humans,#872434,SB,Alabama
Towson,Tigers,Land Animals,#d7aa01,CAA,Maryland
Toledo,Rockets,Objects,#002663,MAC,Ohio
Texas-Arlington,Mavericks,Humans,#0064b1,WAC,Texas
Texas Tech,Red Raiders,Humans,#CC0000,B12,Texas
Texas State,Bobcats,Land Animals,#5a2c34,SB,Texas
Texas Southern,Tigers,Land Animals,#70283e,SWAC,Texas
Texas Rio Grande Valley,Vaqueros,Humans,#006f3c,WAC,Texas
Texas A&M-CC,Islanders,Humans,#013197,Slnd,Texas
Texas A&M,Aggies,Humans,#500000,SEC,Texas
Texas,Longhorns,Land Animals,#CC5500,B12,Texas
Tennessee-Martin,Skyhawks,Birds,#ff6900,OVC,Tennessee
Tennessee Tech,Golden Eagles,Birds,#d7aa01,OVC,Tennessee
Tennessee State,Tigers,Land Animals,#003183,OVC,Tennessee
Tennessee,Volunteers,Humans,#f77f00,SEC,Tennessee
Temple,Owls,Birds,#9e1b34,Amer,Pennsylvania
TCU,Horned Frogs,Land Animals,#34297a,B12,Texas
Tarleton State,Texans,Humans,#4F2D7F,WAC,Texas
Syracuse,Orange,Colors/Elements,#ff5113,ACC,New York
Stony Brook,Seawolves,Mythical Creatures,#990000,CAA,New York
Stonehill,Skyhawks,Birds,#2F2975,NEC,Massachusetts
Stetson,Hatters,Humans,#005737,ASun,Florida
Stephen F. Austin,Lumberjacks,Humans,#330066,WAC,Texas
Stanford,Cardinal,Colors/Elements,#a80532,P12,California
St. Tomas,Spartans,Humans,#74253D,Sum,New York
St. Peter's,Peacocks,Birds,#006bb6,MAAC,New Jersey
St. John's,Red Storm,Natural Phenomena,#CF102D,BE,New York
St. Francis (PA),Red Flash,Colors/Elements,#a31100,NEC,Pennsylvania
St. Francis (BKN),Terriers,Land Animals,#0060a9,NEC,New York
St. Bonaventure,Bonnies,Humans,#7b2d19,A10,New York
Southern Utah,Thunderbirds,Birds,#d8240e,WAC,Utah
Southern University,Jaguars,Land Animals,#5fb2e3,SWAC,Louisiana
Southern Miss,Golden Eagles,Birds,#f0bc28,SB,Mississippi
Southern Indiana,Screaming Eagles,Birds,#CF102D,OVC,Indiana
Southern Illinois,Salukis,Land Animals,#872e3f,MVC,Illinois
Southeastern Louisiana,Lions,Land Animals,#f3b800,Slnd,Louisiana
Southeast Missouri State,Redhawks,Birds,#e03a3e,OVC,Missouri
South Florida,Bulls,Land Animals,#006747,Amer,Florida
South Dakota State,Jackrabbits,Land Animals,#0039a6,Sum,South Dakota
South Dakota,Coyotes,Land Animals,#ff2310,Sum,South Dakota
South Carolina State,Bulldogs,Land Animals,#951123,MEAC,South Carolina
South Carolina,Gamecocks,Birds,#73000A,SEC,South Carolina
South Alabama,Jaguars,Land Animals,#eb1e00,SB,Alabama
Siena,Saints,Humans,#04523c,MAAC,New York
Seton Hall,Pirates,Humans,#004488,BE,New Jersey
Seattle,Redhawks,Birds,#c3362e,WAC,Washington
Savannah State,Tigers,Land Animals,#f65800,MEAC,Georgia
Santa Clara,Broncos,Humans,#720900,WCC,California
San Jose State,Spartans,Humans,#5492cc,MWC,California
San Francisco,Dons,Humans,#254929,WCC,California
San Diego State,Aztecs,Humans,#A81933,MWC,California
San Diego,Toreros,Humans,#004280,WCC,California
Samford,Bulldogs,Land Animals,#003362,SC,Alabama
Sam Houston State,Bearkats,Land Animals,#f88834,CUSA,Texas
Saint Mary's,Gaels,Humans,#06315b,WCC,California
Saint Louis,Billikens,Mythical Creatures,#00529c,A10,Missouri
Saint Joseph's (PA),Hawks,Birds,#a80532,A10,Pennsylvania
Sacred Heart,Pioneers,Humans,#d6243d,NEC,Connecticut
Sacramento State,Hornets,Insects,#005643,BSky,California
SMU,Mustangs,Land Animals,#e51932,Amer,Texas
SIU-Edwardsville,Cougars,Land Animals,#f94227,OVC,Illinois
Rutgers,Scarlet Knights,Humans,#d21034,B10,New Jersey
Robert Morris,Colonials,Humans,#16234a,Horz,Pennsylvania
Rider,Broncs,Land Animals,#bb1c30,MAAC,New Jersey
Richmond,Spiders,Insects,#000066,A10,Virginia
Rice,Owls,Birds,#003f82,Amer,Texas
Rhode Island,Rams,Land Animals,#004990,A10,Rhode Island
Radford,Highlanders,Humans,#e13a3e,BSth,Virginia
Quinnipiac,Bobcats,Land Animals,#aa8406,MAAC,Connecticut
Queens,Royals,Humans,#192C66,ASun,North Carolina
Purdue Fort Wayne,Mastadons,Land Animal,#002F6C,Horz,Indiana
Purdue,Boilermakers,Humans,#141414,B10,Indiana
Providence,Friars,Humans,#141414,BE,Rhode Island
Princeton,Tigers,Land Animals,#e87132,Ivy,New Jersey
Presbyterian,Blue Hose,Humans,#0035AD,BSth,South Carolina
Prairie View A&M,Panthers,Land Animals,#803e99,SWAC,Texas
Portland State,Vikings,Humans,#004319,BSky,Oregon
Portland,Pilots,Humans,#351576,WCC,Oregon
Pittsburgh,Panthers,Land Animals,#002144,ACC,Pennsylvania
Pepperdine,Waves,Natural Phenomena,#e57728,WCC,California
Pennsylvania,Quakers,Humans,#ae223e,Ivy,Pennsylvania
Penn State,Nittany Lions,Land Animals,#002147,B10,Pennsylvania
Pacific,Tigers,Land Animals,#ff6900,WCC,California
Oregon State,Beavers,Land Animals,#e24912,P12,Oregon
Oregon,Ducks,Birds,#004F27,P12,Oregon
Oral Roberts,Golden Eagles,Birds,#c4b888,Sum,Oklahoma
Ole Miss,Rebels,Humans,#002663,SEC,Mississippi
Old Dominion,Monarchs,Humans,#003564,SB,Virginia
Oklahoma State,Cowboys,Humans,#FF6600,B12,Oklahoma
Oklahoma,Sooners,Humans,#a80532,B12,Oklahoma
Ohio State,Buckeyes,Plants,#bb0000,B10,Ohio
Ohio,Bobcats,Land Animals,#336633,MAC,Ohio
Oakland,Golden Grizzlies,Humans,#9f8346,Horz,Michigan
Notre Dame,Fighting Irish,Humans,#002b5c,ACC,Indiana
Northwestern State,Demons,Mythical Creatures,#54209e,Slnd,Louisiana
Northwestern,Wildcats,Land Animals,#512698,B10,Illinois
Northern Kentucky,Norse,Humans,#141414,Horz,Kentucky
Northern Iowa,Panthers,Land Animals,#473282,MVC,Iowa
Northern Illinois,Huskies,Land Animals,#b42836,MAC,Illinois
Northern Colorado,Bears,Land Animals,#ffb500,BSky,Colorado
Northern Arizona,Lumberjacks,Humans,#003b76,BSky,Arizona
Northeastern,Huskies,Land Animals,#000000,CAA,Massachusetts
North Texas,Mean Green,Colors/Elements,#00622e,Amer,Texas
North Florida,Ospreys,Birds,#001a49,ASun,Florida
North Dakota State,Bison,Land Animals,#006633,Sum,North Dakota
North Dakota,Fighting Hawks,Birds,#009A44,Sum,North Dakota
North Carolina-Wilmington,Seahawks,Birds,#192857,CAA,North Carolina
North Carolina State,Wolfpack,Land Animals,#cc092f,ACC,North Carolina
North Carolina Central,Eagles,Birds,#880023,MEAC,North Carolina
North Carolina A&T,Aggies,Land Animals,#ffb82b,CAA,North Carolina
North Carolina,Tar Heels,Humans,#8db9e5,ACC,North Carolina
North Alabama,Lions,Land Animals,#46166B,ASun,Alabama
Norfolk State,Spartans,Humans,#1d8e77,MEAC,Virginia
Nicholls State,Colonels,Humans,#afb7ba,Slnd,Louisiana
Niagara,Purple Eagles,Birds,#502d7f,MAAC,New York
New Orleans,Privateers,Humans,#005ca6,Slnd,Louisiana
New Mexico State,Aggies,Humans,#882345,CUSA,New Mexico
